"I was on a trail in Massachusetts hunting dinosaurs. I was tracking one of them, which had left large footprints in the wet ground along a river. As I got closer, I realized that I didn't have a weapon. Some men appeared and helped me to fashion a weapon using stone tools. Before I left, they gave me a map which showed me where the dinosaur was. I came to a fence with a no trespassing sign, and I wasn't sure if I should continue. I heard gunshots up ahead and decided that I would have to risk it. I ran across the field to a clearing and saw police officers firing at the dinosaur. It was a triceratops and didn't look very threatening. By the time I got closer, it had fallen to the ground, and when I approached it, it decayed in front of me and went through the entire process of becoming a fossil before my eyes. The fossil was mostly buried and I began digging it up, but the police officers came over and arrested me.","Authorities in Massachusetts have arrested two men they allege were digging in an area of protected fossilized dinosaur footprints. Police say the men from New Jersey and Connecticut were seen by police on Saturday afternoon walking up the stairs at the site along the Connecticut River in Holyoke carrying out rocks and tools. The men told officers they did not think they were digging in the protected area. Police say they checked maps and it appears the digging was on protected land. The men were charged with vandalism, trespassing and an archeological violation. They were released on personal recognizance. It was not clear if they had attorneys.",7.5
"I was in my house, but it was dark as the power was out. I walked downstairs to find out what had happened, but when I got to the bottom step, I saw that the house was flooded and filled with about a foot of water. I was worried about one of my clients trying to come over and being drowned, and I tried to run to find my phone, but I was having difficulty moving through the water. I eventually found it and dialed my client, but it went to their answering machine, I couldn't get a hold of them. I looked outside and saw a car being swept away in waves being driven by a strong wind, and I wondered if it was them.","Small businesses are struggling in the aftermath of Hurricane Ida, facing days or weeks without power and Internet, storm damage and difficulty communicating with clients or customers. Experts say there are several ways to begin to recover from a natural disaster, including low-interest natural disaster loans from the government and insurance claims. But first and foremost, an owner should make sure all staff and their families are safe. More than 1 million homes and businesses in Louisiana and Mississippi were left without power as Ida pushed through on Sunday into Monday. Officials said some areas could have no power for weeks.",7
"I was hanging out with some friends at a party, when everyone started doing drugs. One guy was popping benzos like they were candy, and another was injecting heroin. I was afraid of being caught with these guys as I was sure the police would only try to get me. One of the guys doing heroin wasn't feeling well, and when I looked at him, I could tell he had stopped breathing. Someone called 911 and the police arrived, but the guy died. The police let everyone else go, but they cornered me as I tried to escape and arrested me. The scene changes, and I'm in court and being accused of murder. I try to tell them that it wasn't me, but I can't make my voice heard. ","Three suburban Denver officers and two paramedics have been indicted on manslaughter and other charges in the 2019 death of Elijah McClain. The grand jury indictments announced Wednesday come two years after the 23-year-old Black man was put in a chokehold and injected with a powerful sedative. The fatal encounter provoked national outcry during racial injustice protests last year and are the latest chapter for the Police Department in the city of Aurora, which has been plagued by allegations of misconduct against people of color. The charges were announced days after the second anniversary of when police stopped McClain on the street after a 911 caller reported a man who seemed “sketchy.”",6.5
"I had traveled to India to visit my friend Haseeb, but when I got there I had to attend a school to learn the language before I could enter the rest of the country. We had to wear masks to class, and when I arrived at my class, I couldn't find mine. I didn't want to miss the class because it would mean that I couldn't see my friend and would have to leave. But then another student told me that I didn't need to wear a mask because I had already caught COVID. I entered the class and sat down, but everyone else was wearing a mask and the teacher was telling eveyrone about how many people had died or gotten sick because they hadn't worn one.","More students in India will be able to step inside a classroom for the first time in nearly 18 months, as authorities have given the green light to partially reopen more schools despite apprehension from some parents and signs that infections are picking up again. Schools and colleges in at least six more states will reopen in a gradual manner with health measures in place throughout September. Life has been slowly returning to normal in India after the trauma of a ferocious coronavirus surge earlier this year ground life in the country to a halt, sickened tens of millions, and left hundreds of thousands dead. A number of states returned last month to in person learning for some age groups.",6
"I'm working as an arhaeologist trying to unearth hidden scrolls on a dig. It's a top secret mission and we're trying to find them before the authorities can get their first. It's growing dark, and we're about to leave, when I see what looks like a piece of papyrus buried in the sand. I dig it up, but find that it's only a piece of a modern tablecloth.","Authorities in Massachusetts have arrested two men they allege were digging in an area of protected fossilized dinosaur footprints. Police say the men from New Jersey and Connecticut were seen by police on Saturday afternoon walking up the stairs at the site along the Connecticut River in Holyoke carrying out rocks and tools. The men told officers they did not think they were digging in the protected area. Police say they checked maps and it appears the digging was on protected land. The men were charged with vandalism, trespassing and an archeological violation. They were released on personal recognizance. It was not clear if they had attorneys.",5
"I'm heading to the airport for a business trip. I'm running late, and woried that I will miss my flight. I rush through the airport, but when I reach my gate, the plan has left. I find myself on a boat instead, though I think that this isn't a very efficient way to travel to England. I'm not worried becuase I know the company is paying for the expense. At sea, there is a storm and as I try to make my way from th e deck to my room to get my laptop, I see that the ship is starting to flood and sink. I make my way back up hoping to find a lifeboat.","Small businesses are struggling in the aftermath of Hurricane Ida, facing days or weeks without power and Internet, storm damage and difficulty communicating with clients or customers. Experts say there are several ways to begin to recover from a natural disaster, including low-interest natural disaster loans from the government and insurance claims. But first and foremost, an owner should make sure all staff and their families are safe. More than 1 million homes and businesses in Louisiana and Mississippi were left without power as Ida pushed through on Sunday into Monday. Officials said some areas could have no power for weeks.",4
"I was at an event in a park where all of the people were wearing brightly colored clothing. I think it was some kind of psychedelic convention, becuase we were worried that the cops would come and arrest us. Everything seemed okay until we heard sirens and a cop car came driving up a small dirt path and was heading straight for the crowd of people. I scrambled up a low hill toward the woods, and when I looked back, I saw that a lot of people were lying on the ground, injured or dead.","Three suburban Denver officers and two paramedics have been indicted on manslaughter and other charges in the 2019 death of Elijah McClain. The grand jury indictments announced Wednesday come two years after the 23-year-old Black man was put in a chokehold and injected with a powerful sedative. The fatal encounter provoked national outcry during racial injustice protests last year and are the latest chapter for the Police Department in the city of Aurora, which has been plagued by allegations of misconduct against people of color. The charges were announced days after the second anniversary of when police stopped McClain on the street after a 911 caller reported a man who seemed “sketchy.”",3
"I'm feeling sick, and I'm driving to get a COVID test. I'm nervous because I don't have a drivers license and shouldn't be driving at all. I'm at a stop light and am not sure what I'm supposed to do. The light isn't turning and I can't remember if I'm allowed to go or if I have to wait till it's fixed. I get out of the car to ask someone for help, but then remember that I could be sick and shouldn't be around anyone else.","More students in India will be able to step inside a classroom for the first time in nearly 18 months, as authorities have given the green light to partially reopen more schools despite apprehension from some parents and signs that infections are picking up again. Schools and colleges in at least six more states will reopen in a gradual manner with health measures in place throughout September. Life has been slowly returning to normal in India after the trauma of a ferocious coronavirus surge earlier this year ground life in the country to a halt, sickened tens of millions, and left hundreds of thousands dead. A number of states returned last month to in person learning for some age groups.",2.5
"I'm visiting a museum of natural history with a group of friends. I am looking for an exhibit on dreaming and oneirogens and how they have been used in the past, but I can't find it. My friends tell me that it isn't at this museum, but I'm sure that I've seen it there before. Eventually, I give up and I follow them. They lead me to a large cglass display case inside of which is a T-rex. They're saying that it's a real one that they captured, but I'm trying to explain to them that it's too small and there aren't any living ones left.","Authorities in Massachusetts have arrested two men they allege were digging in an area of protected fossilized dinosaur footprints. Police say the men from New Jersey and Connecticut were seen by police on Saturday afternoon walking up the stairs at the site along the Connecticut River in Holyoke carrying out rocks and tools. The men told officers they did not think they were digging in the protected area. Police say they checked maps and it appears the digging was on protected land. The men were charged with vandalism, trespassing and an archeological violation. They were released on personal recognizance. It was not clear if they had attorneys.",1.5
"I'm walking down to the park near my parents' house. I pass an old, dilapidated house, and hear loud music and arguing. I'm worried that someone might get hurt and I try to listen but I can't hear the words over the music. I keep walking, but I feel like something is wrong. I stop and look up at the sky and am surprised to see that there are dark clouds rolling in, but they look more like dust clouds than rain clouds. The wind starts to blow and a sandtorm starts. I make it down to the park and take shelter under a wooden pavilion. ","Small businesses are struggling in the aftermath of Hurricane Ida, facing days or weeks without power and Internet, storm damage and difficulty communicating with clients or customers. Experts say there are several ways to begin to recover from a natural disaster, including low-interest natural disaster loans from the government and insurance claims. But first and foremost, an owner should make sure all staff and their families are safe. More than 1 million homes and businesses in Louisiana and Mississippi were left without power as Ida pushed through on Sunday into Monday. Officials said some areas could have no power for weeks.",2
"I'm slithering down a dimly lit corridor with a door at the far end. I am trying to get to the door so that I can get through. I seem to be a snake as I see my reflection in a mirror as I pass it. When I look back at the end of the hallway, there is a man sitting on the ground, not paying attention. I try to get around him, but he wakes up, and in fear, I bite him several times. Blood spatters to the ground and he falls unconscious. ","Three suburban Denver officers and two paramedics have been indicted on manslaughter and other charges in the 2019 death of Elijah McClain. The grand jury indictments announced Wednesday come two years after the 23-year-old Black man was put in a chokehold and injected with a powerful sedative. The fatal encounter provoked national outcry during racial injustice protests last year and are the latest chapter for the Police Department in the city of Aurora, which has been plagued by allegations of misconduct against people of color. The charges were announced days after the second anniversary of when police stopped McClain on the street after a 911 caller reported a man who seemed “sketchy.”",1
"I'm playing piano, trying to record a really beautiful song. I'm having trouble playing the right notes and when I try to listen to the recording when I'm finished, I can't hear it. It's muffled and only parts of the melody are there. I'm wondering if this is because of a filter I applied or if the song is ruined. I wake up remembering only a small piece of the melody and wisihing that I could have taken more out of the dream because I remembered it being beautiful. ","More students in India will be able to step inside a classroom for the first time in nearly 18 months, as authorities have given the green light to partially reopen more schools despite apprehension from some parents and signs that infections are picking up again. Schools and colleges in at least six more states will reopen in a gradual manner with health measures in place throughout September. Life has been slowly returning to normal in India after the trauma of a ferocious coronavirus surge earlier this year ground life in the country to a halt, sickened tens of millions, and left hundreds of thousands dead. A number of states returned last month to in person learning for some age groups.",0
